"","x"
"1","Carex aboriginum"
"2","Carex abrupta"
"3","Carex abscondita"
"4","Carex acidicola"
"5","Carex acutiformis"
"6","Carex adelostoma"
"7","Carex adusta"
"8","Carex aestivalis"
"9","Carex aggregata"
"10","Carex alata"
"11","Carex albicans"
"12","Carex albida"
"13","Carex albolutescens"
"14","Carex albonigra"
"15","Carex albursina"
"16","Carex alma"
"17","Carex alopecoidea"
"18","Carex amphibola"
"19","Carex amplectens"
"20","Carex amplifolia"
"21","Carex angustata"
"22","Carex annectens"
"23","Carex anthoxanthea"
"24","Carex aperta"
"25","Carex appalachica"
"26","Carex aquatilis"
"27","Carex arapahoensis"
"28","Carex arcta"
"29","Carex arctata"
"30","Carex arctiformis"
"31","Carex arenaria"
"32","Carex argyrantha"
"33","Carex arkansana"
"34","Carex assiniboinensis"
"35","Carex atherodes"
"36","Carex athrostachya"
"37","Carex atlantica"
"38","Carex atrata"
"39","Carex atratiformis"
"40","Carex atrofusca"
"41","Carex atrosquama"
"42","Carex aurea"
"43","Carex aureolensis"
"44","Carex austrina"
"45","Carex austrocaroliniana"
"46","Carex backii"
"47","Carex baileyi"
"48","Carex baltzellii"
"49","Carex barbarae"
"50","Carex barrattii"
"51","Carex basiantha"
"52","Carex bebbii"
"53","Carex bella"
"54","Carex bicknellii"
"55","Carex bicolor"
"56","Carex bigelowii"
"57","Carex biltmoreana"
"58","Carex blanda"
"59","Carex bolanderi"
"60","Carex bonanzensis"
"61","Carex brainerdii"
"62","Carex brevicaulis"
"63","Carex brevior"
"64","Carex breweri"
"65","Carex bromoides"
"66","Carex brunnescens"
"67","Carex brysonii"
"68","Carex bulbostylis"
"69","Carex bullata"
"70","Carex bushii"
"71","Carex buxbaumii"
"72","Carex calcifugens"
"73","Carex californica"
"74","Carex canescens"
"75","Carex capillaris"
"76","Carex capitata"
"77","Carex careyana"
"78","Carex caroliniana"
"79","Carex caryophyllea"
"80","Carex castanea"
"81","Carex cephaloidea"
"82","Carex cephalophora"
"83","Carex chalciolepis"
"84","Carex chapmanii"
"85","Carex cherokeensis"
"86","Carex chihuahuensis"
"87","Carex chordorrhiza"
"88","Carex circinata"
"89","Carex collinsii"
"90","Carex communis"
"91","Carex comosa"
"92","Carex complanata"
"93","Carex concinna"
"94","Carex concinnoides"
"95","Carex congdonii"
"96","Carex conjuncta"
"97","Carex conoidea"
"98","Carex constanceana"
"99","Carex cordillerana"
"100","Carex corrugata"
"101","Carex crawei"
"102","Carex crawfordii"
"103","Carex crebriflora"
"104","Carex crinita"
"105","Carex cristatella"
"106","Carex crus-corvi"
"107","Carex cryptolepis"
"108","Carex cumberlandensis"
"109","Carex cumulata"
"110","Carex curatorum"
"111","Carex cusickii"
"112","Carex dasycarpa"
"113","Carex davisii"
"114","Carex davyi"
"115","Carex debilis"
"116","Carex decomposita"
"117","Carex deflexa"
"118","Carex densa"
"119","Carex deweyana"
"120","Carex diandra"
"121","Carex digitalis"
"122","Carex diluta"
"123","Carex disperma"
"124","Carex distans"
"125","Carex disticha"
"126","Carex divisa"
"127","Carex divulsa"
"128","Carex douglasii"
"129","Carex duriuscula"
"130","Carex ebenea"
"131","Carex eburnea"
"132","Carex echinata"
"133","Carex edwardsiana"
"134","Carex egglestonii"
"135","Carex eleusinoides"
"136","Carex elliottii"
"137","Carex elynoides"
"138","Carex emoryi"
"139","Carex endlichii"
"140","Carex engelmannii"
"141","Carex epapillosa"
"142","Carex exilis"
"143","Carex exsiccata"
"144","Carex extensa"
"145","Carex festucacea"
"146","Carex feta"
"147","Carex filifolia"
"148","Carex fissa"
"149","Carex fissuricola"
"150","Carex flacca"
"151","Carex flaccosperma"
"152","Carex flava"
"153","Carex floridana"
"154","Carex foenea"
"155","Carex folliculata"
"156","Carex formosa"
"157","Carex fracta"
"158","Carex frankii"
"159","Carex fuliginosa"
"160","Carex garberi"
"161","Carex geophila"
"162","Carex geyeri"
"163","Carex gholsonii"
"164","Carex gigantea"
"165","Carex glacialis"
"166","Carex glareosa"
"167","Carex glaucescens"
"168","Carex glaucodea"
"169","Carex globosa"
"170","Carex gmelinii"
"171","Carex godfreyi"
"172","Carex gracilescens"
"173","Carex gracilior"
"174","Carex gracillima"
"175","Carex granularis"
"176","Carex gravida"
"177","Carex grayi"
"178","Carex grisea"
"179","Carex gynandra"
"180","Carex gynocrates"
"181","Carex gynodynama"
"182","Carex halliana"
"183","Carex hallii"
"184","Carex harfordii"
"185","Carex hassei"
"186","Carex haydeniana"
"187","Carex haydenii"
"188","Carex heleonastes"
"189","Carex helleri"
"190","Carex hendersonii"
"191","Carex heteroneura"
"192","Carex heterostachya"
"193","Carex hirsutella"
"194","Carex hirta"
"195","Carex hirtifolia"
"196","Carex hirtissima"
"197","Carex hitchcockiana"
"198","Carex holostoma"
"199","Carex hoodii"
"200","Carex hookeriana"
"201","Carex hormathodes"
"202","Carex hostiana"
"203","Carex houghtoniana"
"204","Carex hyalina"
"205","Carex hyalinolepis"
"206","Carex hystericina"
"207","Carex idahoa"
"208","Carex illota"
"209","Carex impressinervia"
"210","Carex incurviformis"
"211","Carex infirminervia"
"212","Carex inops"
"213","Carex integra"
"214","Carex interior"
"215","Carex interrupta"
"216","Carex intumescens"
"217","Carex jamesii"
"218","Carex jonesii"
"219","Carex joorii"
"220","Carex juniperorum"
"221","Carex kobomugi"
"222","Carex kraliana"
"223","Carex krausei"
"224","Carex lachenalii"
"225","Carex lacustris"
"226","Carex laeviconica"
"227","Carex laeviculmis"
"228","Carex laevivaginata"
"229","Carex lapponica"
"230","Carex lasiocarpa"
"231","Carex latebracteata"
"232","Carex lativena"
"233","Carex laxa"
"234","Carex laxiculmis"
"235","Carex laxiflora"
"236","Carex leavenworthii"
"237","Carex lemmonii"
"238","Carex lenticularis"
"239","Carex leporinella"
"240","Carex leptalea"
"241","Carex leptonervia"
"242","Carex leptopoda"
"243","Carex limosa"
"244","Carex livida"
"245","Carex loliacea"
"246","Carex lonchocarpa"
"247","Carex longii"
"248","Carex louisianica"
"249","Carex lucorum"
"250","Carex lupuliformis"
"251","Carex lupulina"
"252","Carex lurida"
"253","Carex lutea"
"254","Carex luzulifolia"
"255","Carex luzulina"
"256","Carex lyngbyei"
"257","Carex mackenziei"
"258","Carex macloviana"
"259","Carex macrocephala"
"260","Carex macrochaeta"
"261","Carex magellanica"
"262","Carex manhartii"
"263","Carex marina"
"264","Carex mariposana"
"265","Carex maritima"
"266","Carex mckittrickensis"
"267","Carex meadii"
"268","Carex media"
"269","Carex melanostachya"
"270","Carex membranacea"
"271","Carex mendocinensis"
"272","Carex merritt-fernaldii"
"273","Carex mertensii"
"274","Carex mesochorea"
"275","Carex michauxiana"
"276","Carex microchaeta"
"277","Carex microdonta"
"278","Carex microglochin"
"279","Carex micropoda"
"280","Carex microptera"
"281","Carex misera"
"282","Carex missouriensis"
"283","Carex mitchelliana"
"284","Carex molesta"
"285","Carex molestiformis"
"286","Carex muehlenbergii"
"287","Carex multicaulis"
"288","Carex multicostata"
"289","Carex muricata"
"290","Carex muriculata"
"291","Carex muskingumensis"
"292","Carex nardina"
"293","Carex nebrascensis"
"294","Carex nelsonii"
"295","Carex nervina"
"296","Carex neurophora"
"297","Carex nigra"
"298","Carex nigricans"
"299","Carex nigromarginata"
"300","Carex normalis"
"301","Carex norvegica"
"302","Carex nova"
"303","Carex novae-angliae"
"304","Carex nudata"
"305","Carex obispoensis"
"306","Carex obnupta"
"307","Carex obtusata"
"308","Carex occidentalis"
"309","Carex oklahomensis"
"310","Carex oligocarpa"
"311","Carex oligosperma"
"312","Carex opaca"
"313","Carex oreocharis"
"314","Carex ormostachya"
"315","Carex oronensis"
"316","Carex ouachitana"
"317","Carex ovalis"
"318","Carex oxylepis"
"319","Carex ozarkana"
"320","Carex pachystachya"
"321","Carex paeninsulae"
"322","Carex paleacea"
"323","Carex pallescens"
"324","Carex panicea"
"325","Carex pansa"
"326","Carex parallela"
"327","Carex parryana"
"328","Carex pauciflora"
"329","Carex paysonis"
"330","Carex peckii"
"331","Carex pedunculata"
"332","Carex pellita"
"333","Carex pelocarpa"
"334","Carex pendula"
"335","Carex pensylvanica"
"336","Carex perdentata"
"337","Carex perglobosa"
"338","Carex petasata"
"339","Carex petricosa"
"340","Carex phaeocephala"
"341","Carex picta"
"342","Carex pigra"
"343","Carex pityophila"
"344","Carex planispicata"
"345","Carex planostachys"
"346","Carex plantaginea"
"347","Carex platyphylla"
"348","Carex pluriflora"
"349","Carex podocarpa"
"350","Carex polymorpha"
"351","Carex praeceptorum"
"352","Carex praegracilis"
"353","Carex prairea"
"354","Carex prasina"
"355","Carex praticola"
"356","Carex preslii"
"357","Carex projecta"
"358","Carex proposita"
"359","Carex pseudocyperus"
"360","Carex pumila"
"361","Carex purpurifera"
"362","Carex radfordii"
"363","Carex radiata"
"364","Carex ramenskii"
"365","Carex rariflora"
"366","Carex raynoldsii"
"367","Carex recta"
"368","Carex reniformis"
"369","Carex retroflexa"
"370","Carex retrorsa"
"371","Carex richardsonii"
"372","Carex roanensis"
"373","Carex rosea"
"374","Carex rossii"
"375","Carex rostrata"
"376","Carex rotundata"
"377","Carex rufina"
"378","Carex rupestris"
"379","Carex ruthii"
"380","Carex sabulosa"
"381","Carex salina"
"382","Carex sartwelliana"
"383","Carex sartwellii"
"384","Carex saxatilis"
"385","Carex saximontana"
"386","Carex scabrata"
"387","Carex scabriuscula"
"388","Carex schottii"
"389","Carex schweinitzii"
"390","Carex scirpoidea"
"391","Carex scoparia"
"392","Carex scopulorum"
"393","Carex senta"
"394","Carex seorsa"
"395","Carex serpenticola"
"396","Carex serratodens"
"397","Carex sheldonii"
"398","Carex shinnersii"
"399","Carex shortiana"
"400","Carex siccata"
"401","Carex silicea"
"402","Carex simulata"
"403","Carex socialis"
"404","Carex sparganioides"
"405","Carex specifica"
"406","Carex spectabilis"
"407","Carex specuicola"
"408","Carex spicata"
"409","Carex spissa"
"410","Carex sprengelii"
"411","Carex squarrosa"
"412","Carex stenoptila"
"413","Carex sterilis"
"414","Carex stevenii"
"415","Carex stipata"
"416","Carex straminea"
"417","Carex straminiformis"
"418","Carex striata"
"419","Carex striatula"
"420","Carex stricta"
"421","Carex styloflexa"
"422","Carex stylosa"
"423","Carex subbracteata"
"424","Carex suberecta"
"425","Carex subfusca"
"426","Carex subnigricans"
"427","Carex subspathacea"
"428","Carex superata"
"429","Carex supina"
"430","Carex swanii"
"431","Carex sychnocephala"
"432","Carex sylvatica"
"433","Carex tahoensis"
"434","Carex tenax"
"435","Carex tenera"
"436","Carex tenuiflora"
"437","Carex tetanica"
"438","Carex tetrastachya"
"439","Carex texensis"
"440","Carex thornei"
"441","Carex thurberi"
"442","Carex timida"
"443","Carex tincta"
"444","Carex tompkinsii"
"445","Carex tonsa"
"446","Carex torreyi"
"447","Carex torta"
"448","Carex triangularis"
"449","Carex tribuloides"
"450","Carex trichocarpa"
"451","Carex triquetra"
"452","Carex trisperma"
"453","Carex tuckermanii"
"454","Carex tumulicola"
"455","Carex turbinata"
"456","Carex turgescens"
"457","Carex typhina"
"458","Carex umbellata"
"459","Carex unilateralis"
"460","Carex ursina"
"461","Carex utriculata"
"462","Carex vacillans"
"463","Carex vaginata"
"464","Carex vallicola"
"465","Carex venusta"
"466","Carex vernacula"
"467","Carex verrucosa"
"468","Carex vesicaria"
"469","Carex vestita"
"470","Carex vexans"
"471","Carex virescens"
"472","Carex viridula"
"473","Carex vulpinoidea"
"474","Carex whitneyi"
"475","Carex wiegandii"
"476","Carex willdenowii"
"477","Carex williamsii"
"478","Carex woodii"
"479","Carex wootonii"
"480","Carex xerantica"
