coded_property_name,property_name
plant_height,culm_size
plant_height,culm_height
plant_height,culm_atypical_size
plant_height,culm_height_or_length
plant_height,culm_length
plant_height,culm_some_measurement
plant_height,culm_leaf_some_measurement
plant_height,angle_some_measurement
leaf_width,blade_size
leaf_width,blade_width
leaf_width,leaf_size
leaf_width,leaf_width
inflorescence_length,inflorescence_height_or_length
inflorescence_length,inflorescence_length
inflorescence_length,inflorescence_some_measurement
inflorescence_length,inflorescence_atypical_length
inflorescence_width,inflorescence_atypical_width
inflorescence_width,inflorescence_width
fruit_length,achene_atypical_length
fruit_length,achene_length
fruit_width,achene_atypical_width
fruit_width,achene_width
leaf_width,blade-leaf_width
plant_height,culm_atypical_some_measurement
branch_quantity,inflorescence_atypical_quantity
branch_quantity,inflorescence_quantity
plant_height,flowering-stem_atypical_some_measurement
plant_height,flowering-stem_some_measurement
leaf_width,leaf-blade_atypical_width
leaf_width,leaf-blade_width
leaf_width,blade_atypical_width
leaf_width,blade_atypical_size
plant_height,culm_atypical_some_measurement
inflorescence_length,inflorescence_atypical_some_measurement
branch_count,branch_quantity